Vaccine,Geography.Type,Geography,Survey.Year.Influenza.Season,Dimension.Type,Dimension,Estimate....,X95..CI....,Sample.Size,State,Year,Insured,Uninsured,UrbanicityIndex
Influenza,States,Tennessee,2019,Age,>=35 Years,61.6,48.2 to 73.8,111,TN,2019,1794400,257300,2.9245875145132008
Influenza,States,Tennessee,2019,Race and Ethnicity,"White, Non-Hispanic",63.7,56.6 to 70.4,373,TN,2019,1794400,257300,2.9245875145132008
Influenza,States,Tennessee,2019,Race and Ethnicity,"Black, Non-Hispanic",37.6,26.0 to 50.3,156,TN,2019,1794400,257300,2.9245875145132008
Influenza,States,Tennessee,2019,Race and Ethnicity,Hispanic,NR*,NR*,76,TN,2019,1794400,257300,2.9245875145132008
Influenza,States,Tennessee,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,TN,2019,1794400,257300,2.9245875145132008
Influenza,States,Tennessee,2021,Race and Ethnicity,"White, Non-Hispanic",57.7,51.8 to 63.5,382,TN,2021,1818100,256900,2.9245875145132008
Influenza,States,Tennessee,2021,Race and Ethnicity,"Black, Non-Hispanic",34.2,24.1 to 45.5,119,TN,2021,1818100,256900,2.9245875145132008
Influenza,States,Tennessee,2021,Race and Ethnicity,Hispanic,48.9,34.0 to 63.9,67,TN,2021,1818100,256900,2.9245875145132008
Influenza,States,Tennessee,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,32,TN,2021,1818100,256900,2.9245875145132008
Influenza,States,Tennessee,2020,Age,>=18 Years,54.9,49.3 to 60.4,598,TN,2020,NA,NA,2.9245875145132008
Influenza,States,Tennessee,2012,Age,18-24 Years,38.9,31.3 to 47.0,246,TN,2012,1634800,350600,2.9245875145132008
Influenza,States,Tennessee,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,TN,2020,NA,NA,2.9245875145132008
Influenza,States,Tennessee,2020,Race and Ethnicity,Hispanic,NR*,NR*,78,TN,2020,NA,NA,2.9245875145132008
Influenza,States,Tennessee,2020,Race and Ethnicity,"Black, Non-Hispanic",35.6,24.2 to 48.3,138,TN,2020,NA,NA,2.9245875145132008
Influenza,States,Tennessee,2012,Race and Ethnicity,"Black, Non-Hispanic",29.2,20.3 to 39.4,152,TN,2012,1634800,350600,2.9245875145132008
Influenza,States,Tennessee,2020,Age,25-34 Years,58.2,50.6 to 65.5,332,TN,2020,NA,NA,2.9245875145132008
Influenza,States,Tennessee,2020,Age,18-24 Years,38.3,27.8 to 49.7,147,TN,2020,NA,NA,2.9245875145132008
Influenza,States,Tennessee,2020,Age,>=35 Years,66.9,54.2 to 78.0,119,TN,2020,NA,NA,2.9245875145132008
Influenza,States,Tennessee,2012,Age,>=35 Years,54.3,40.6 to 67.5,99,TN,2012,1634800,350600,2.9245875145132008
Influenza,States,Tennessee,2012,Age,25-34 Years,45.2,39.5 to 51.0,447,TN,2012,1634800,350600,2.9245875145132008
Influenza,States,Tennessee,2012,Race and Ethnicity,Hispanic,48.1,33.5 to 62.9,68,TN,2012,1634800,350600,2.9245875145132008
Influenza,States,Tennessee,2020,Race and Ethnicity,"White, Non-Hispanic",60.9,53.9 to 67.6,358,TN,2020,NA,NA,2.9245875145132008
Influenza,States,Tennessee,2012,Race and Ethnicity,"White, Non-Hispanic",47.4,42.1 to 52.8,538,TN,2012,1634800,350600,2.9245875145132008
Influenza,States,Tennessee,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,34,TN,2012,1634800,350600,2.9245875145132008
Influenza,States,Tennessee,2012,Age,>=18 Years,44.1,39.8 to 48.5,792,TN,2012,1634800,350600,2.9245875145132008
Tdap,States,Montana,2017,Age,>=35 Years,72.1,64.0 to 79.2,147,MT,2017,271200,33500,4.7631304508904435
Tdap,States,Montana,2018,Age,>=35 Years,69.3,59.8 to 77.7,112,MT,2018,272500,28400,4.7631304508904435
Tdap,States,Montana,2019,Age,>=35 Years,75.0,66.5 to 82.3,126,MT,2019,266600,33500,4.7631304508904435
Tdap,States,Montana,2020,Age,>=35 Years,69.3,58.9 to 78.4,111,MT,2020,NA,NA,4.7631304508904435
Tdap,States,Montana,2018,Age,18-24 Years,75.5,68.5 to 81.7,183,MT,2018,272500,28400,4.7631304508904435
Tdap,States,Montana,2019,Age,18-24 Years,75.8,67.3 to 83.0,139,MT,2019,266600,33500,4.7631304508904435
Tdap,States,Montana,2020,Age,18-24 Years,76.9,67.8 to 84.5,159,MT,2020,NA,NA,4.7631304508904435
Tdap,States,Montana,2017,Age,18-24 Years,70.1,62.8 to 76.7,185,MT,2017,271200,33500,4.7631304508904435
Tdap,States,Montana,2017,Age,>=18 Years,72.9,69.8 to 75.8,860,MT,2017,271200,33500,4.7631304508904435
Tdap,States,Montana,2018,Age,>=18 Years,77.3,74.1 to 80.3,741,MT,2018,272500,28400,4.7631304508904435
Tdap,States,Montana,2020,Age,>=18 Years,78.5,74.7 to 82.0,642,MT,2020,NA,NA,4.7631304508904435
Tdap,States,Montana,2019,Age,>=18 Years,79.1,75.8 to 82.1,668,MT,2019,266600,33500,4.7631304508904435
Tdap,States,Montana,2017,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,MT,2017,271200,33500,4.7631304508904435
Tdap,States,Montana,2018,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,MT,2018,272500,28400,4.7631304508904435
Tdap,States,Montana,2018,Race and Ethnicity,"White, Non-Hispanic",77.3,73.6 to 80.7,547,MT,2018,272500,28400,4.7631304508904435
Tdap,States,Montana,2020,Race and Ethnicity,"White, Non-Hispanic",79.1,74.6 to 83.1,385,MT,2020,NA,NA,4.7631304508904435
Tdap,States,Montana,2019,Race and Ethnicity,"White, Non-Hispanic",79.7,75.9 to 83.2,491,MT,2019,266600,33500,4.7631304508904435
Influenza,States,Montana,2020,Age,>=18 Years,68.5,64.4 to 72.4,683,MT,2020,NA,NA,4.7631304508904435
Tdap,States,Montana,2017,Age,25-34 Years,74.2,70.2 to 77.9,528,MT,2017,271200,33500,4.7631304508904435
Tdap,States,Montana,2018,Age,25-34 Years,80.0,76.0 to 83.6,446,MT,2018,272500,28400,4.7631304508904435
Tdap,States,Montana,2020,Age,25-34 Years,81.9,77.2 to 86.0,372,MT,2020,NA,NA,4.7631304508904435
Tdap,States,Montana,2019,Age,25-34 Years,81.7,77.6 to 85.4,403,MT,2019,266600,33500,4.7631304508904435
Tdap,States,Montana,2017,Race and Ethnicity,Hispanic,78.2,60.6 to 90.5,36,MT,2017,271200,33500,4.7631304508904435
Tdap,States,Montana,2018,Race and Ethnicity,Hispanic,84.5,67.2 to 94.9,32,MT,2018,272500,28400,4.7631304508904435
Tdap,States,Montana,2019,Race and Ethnicity,Hispanic,NR*,NR*,38,MT,2019,266600,33500,4.7631304508904435
Tdap,States,Montana,2019,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,MT,2019,266600,33500,4.7631304508904435
Tdap,States,Montana,2020,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,MT,2020,NA,NA,4.7631304508904435
Tdap,States,Montana,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",69.7,62.6 to 76.2,203,MT,2017,271200,33500,4.7631304508904435
Tdap,States,Montana,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",77.7,70.2 to 84.1,158,MT,2018,272500,28400,4.7631304508904435
Tdap,States,Montana,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",69.8,62.2 to 76.7,224,MT,2020,NA,NA,4.7631304508904435
Tdap,States,Montana,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",78.4,70.4 to 85.1,136,MT,2019,266600,33500,4.7631304508904435
Tdap,States,Montana,2020,Race and Ethnicity,Hispanic,NR*,NR*,30,MT,2020,NA,NA,4.7631304508904435
Tdap,States,Montana,2017,Race and Ethnicity,"White, Non-Hispanic",73.0,69.3 to 76.5,616,MT,2017,271200,33500,4.7631304508904435
Influenza,States,Montana,2022,Age,>=18 Years,49.3,45.5 to 53.1,930,MT,2022,278300,32300,4.7631304508904435
Influenza,States,Montana,2022,Age,>=35 Years,47.9,39.7 to 56.2,179,MT,2022,278300,32300,4.7631304508904435
Tdap,States,Montana,2022,Age,>=18 Years,73.5,70.0 to 76.8,892,MT,2022,278300,32300,4.7631304508904435
Tdap,States,Montana,2022,Age,>=35 Years,69.5,61.3 to 76.9,175,MT,2022,278300,32300,4.7631304508904435
Influenza,States,Montana,2022,Age,18-24 Years,42.2,33.4 to 51.4,226,MT,2022,278300,32300,4.7631304508904435
Influenza,States,Montana,2022,Age,25-34 Years,51.9,47.0 to 56.8,525,MT,2022,278300,32300,4.7631304508904435
Tdap,States,Montana,2022,Age,18-24 Years,75.8,67.4 to 82.9,215,MT,2022,278300,32300,4.7631304508904435
Tdap,States,Montana,2022,Age,25-34 Years,74.3,69.6 to 78.6,502,MT,2022,278300,32300,4.7631304508904435
Influenza,States,Montana,2022,Race and Ethnicity,"White, Non-Hispanic",47.1,42.7 to 51.6,523,MT,2022,278300,32300,4.7631304508904435
Influenza,States,Montana,2022,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,MT,2022,278300,32300,4.7631304508904435
Influenza,States,Montana,2022,Race and Ethnicity,Hispanic,NR*,NR*,55,MT,2022,278300,32300,4.7631304508904435
Influenza,States,Montana,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",61.3,54.4 to 67.9,348,MT,2022,278300,32300,4.7631304508904435
Tdap,States,Montana,2022,Race and Ethnicity,"White, Non-Hispanic",73.8,69.6 to 77.7,517,MT,2022,278300,32300,4.7631304508904435
Tdap,States,Montana,2022,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,MT,2022,278300,32300,4.7631304508904435
Tdap,States,Montana,2022,Race and Ethnicity,Hispanic,83.1,66.6 to 93.6,52,MT,2022,278300,32300,4.7631304508904435
Tdap,States,Montana,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",69.4,62.7 to 75.6,319,MT,2022,278300,32300,4.7631304508904435
Influenza,States,Montana,2019,Age,>=18 Years,65.1,61.5 to 68.6,715,MT,2019,266600,33500,4.7631304508904435
Influenza,States,Montana,2019,Age,18-24 Years,68.4,60.0 to 76.0,155,MT,2019,266600,33500,4.7631304508904435
Influenza,States,Montana,2019,Age,25-34 Years,63.1,58.3 to 67.7,426,MT,2019,266600,33500,4.7631304508904435
Influenza,States,Montana,2019,Age,>=35 Years,67.3,58.7 to 75.1,134,MT,2019,266600,33500,4.7631304508904435
Influenza,States,Montana,2019,Race and Ethnicity,"White, Non-Hispanic",65.3,61.0 to 69.4,516,MT,2019,266600,33500,4.7631304508904435
Influenza,States,Montana,2019,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,MT,2019,266600,33500,4.7631304508904435
Influenza,States,Montana,2019,Race and Ethnicity,Hispanic,NR*,NR*,40,MT,2019,266600,33500,4.7631304508904435
Influenza,States,Montana,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",64.3,55.9 to 72.1,155,MT,2019,266600,33500,4.7631304508904435
Influenza,States,Montana,2018,Age,>=18 Years,62.3,58.8 to 65.7,789,MT,2018,272500,28400,4.7631304508904435
Influenza,States,Montana,2018,Age,18-24 Years,57.6,50.2 to 64.8,195,MT,2018,272500,28400,4.7631304508904435
Influenza,States,Montana,2018,Age,25-34 Years,65.2,60.8 to 69.5,480,MT,2018,272500,28400,4.7631304508904435
Influenza,States,Montana,2018,Age,>=35 Years,57.9,48.3 to 67.1,114,MT,2018,272500,28400,4.7631304508904435
Influenza,States,Montana,2018,Race and Ethnicity,"White, Non-Hispanic",61.4,57.3 to 65.4,578,MT,2018,272500,28400,4.7631304508904435
Influenza,States,Montana,2018,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,MT,2018,272500,28400,4.7631304508904435
Influenza,States,Montana,2018,Race and Ethnicity,Hispanic,NR*,NR*,34,MT,2018,272500,28400,4.7631304508904435
Influenza,States,Montana,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",68.3,60.5 to 75.4,173,MT,2018,272500,28400,4.7631304508904435
Influenza,States,Montana,2017,Age,>=18 Years,62.8,59.6 to 65.9,915,MT,2017,271200,33500,4.7631304508904435
Influenza,States,Montana,2017,Age,18-24 Years,56.9,49.5 to 64.1,201,MT,2017,271200,33500,4.7631304508904435
Influenza,States,Montana,2017,Age,25-34 Years,64.3,60.2 to 68.3,558,MT,2017,271200,33500,4.7631304508904435
Influenza,States,Montana,2017,Age,>=35 Years,65.5,57.3 to 73.1,156,MT,2017,271200,33500,4.7631304508904435
Influenza,States,Montana,2017,Race and Ethnicity,"White, Non-Hispanic",61.1,57.2 to 64.9,646,MT,2017,271200,33500,4.7631304508904435
Influenza,States,Montana,2017,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,MT,2017,271200,33500,4.7631304508904435
Influenza,States,Montana,2017,Race and Ethnicity,Hispanic,68.7,52.3 to 82.3,41,MT,2017,271200,33500,4.7631304508904435
Influenza,States,Montana,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",68.9,62.2 to 75.0,223,MT,2017,271200,33500,4.7631304508904435
Influenza,States,Montana,2020,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,MT,2020,NA,NA,4.7631304508904435
Influenza,States,Montana,2020,Age,>=35 Years,66.7,56.5 to 75.8,118,MT,2020,NA,NA,4.7631304508904435
Influenza,States,Montana,2020,Age,25-34 Years,69.8,64.4 to 74.8,389,MT,2020,NA,NA,4.7631304508904435
Influenza,States,Montana,2020,Age,18-24 Years,66.8,57.4 to 75.3,176,MT,2020,NA,NA,4.7631304508904435
Influenza,States,Montana,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",65.4,58.0 to 72.3,242,MT,2020,NA,NA,4.7631304508904435
Influenza,States,Montana,2020,Race and Ethnicity,Hispanic,NR*,NR*,33,MT,2020,NA,NA,4.7631304508904435
Influenza,States,Montana,2020,Race and Ethnicity,"White, Non-Hispanic",70.9,66.1 to 75.3,404,MT,2020,NA,NA,4.7631304508904435
Influenza,States,Wyoming,2015,Age,>=18 Years,56.3,51.1 to 61.4,547,WY,2015,150200,20700,4.910925881650759
Influenza,States,Wyoming,2015,Age,18-24 Years,53.9,44.2 to 63.4,164,WY,2015,150200,20700,4.910925881650759
Influenza,States,Wyoming,2021,Age,>=18 Years,56.2,50.4 to 61.9,436,WY,2021,136000,23700,4.910925881650759
Influenza,States,Wyoming,2021,Age,18-24 Years,48.9,37.2 to 60.7,112,WY,2021,136000,23700,4.910925881650759
Influenza,States,Wyoming,2021,Age,25-34 Years,61.2,53.8 to 68.3,267,WY,2021,136000,23700,4.910925881650759
Influenza,States,Wyoming,2021,Age,>=35 Years,NR*,NR*,57,WY,2021,136000,23700,4.910925881650759
Influenza,States,Wyoming,2013,Age,>=18 Years,50.1,45.1 to 55.1,597,WY,2013,144100,29300,4.910925881650759
Influenza,States,Wyoming,2013,Age,18-24 Years,37.4,28.9 to 46.5,195,WY,2013,144100,29300,4.910925881650759
Influenza,States,Wyoming,2013,Age,25-34 Years,57.5,50.9 to 63.9,339,WY,2013,144100,29300,4.910925881650759
Influenza,States,Wyoming,2013,Age,>=35 Years,NR*,NR*,63,WY,2013,144100,29300,4.910925881650759
Influenza,States,Wyoming,2013,Race and Ethnicity,"White, Non-Hispanic",49.9,44.3 to 55.5,416,WY,2013,144100,29300,4.910925881650759
Influenza,States,Wyoming,2013,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,WY,2013,144100,29300,4.910925881650759
Influenza,States,Wyoming,2013,Race and Ethnicity,Hispanic,NR*,NR*,58,WY,2013,144100,29300,4.910925881650759
Influenza,States,Wyoming,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",66.0,50.7 to 79.2,117,WY,2013,144100,29300,4.910925881650759
Influenza,States,Wyoming,2014,Age,>=18 Years,50.0,45.2 to 54.8,609,WY,2014,144800,27300,4.910925881650759
Influenza,States,Wyoming,2014,Age,18-24 Years,48.1,38.9 to 57.4,184,WY,2014,144800,27300,4.910925881650759
Influenza,States,Wyoming,2014,Age,25-34 Years,50.6,44.5 to 56.7,364,WY,2014,144800,27300,4.910925881650759
Influenza,States,Wyoming,2014,Age,>=35 Years,51.8,36.8 to 66.6,61,WY,2014,144800,27300,4.910925881650759
Influenza,States,Wyoming,2021,Race and Ethnicity,"White, Non-Hispanic",57.6,51.1 to 63.9,318,WY,2021,136000,23700,4.910925881650759
Influenza,States,Wyoming,2021,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,WY,2021,136000,23700,4.910925881650759
Influenza,States,Wyoming,2021,Race and Ethnicity,Hispanic,NR*,NR*,48,WY,2021,136000,23700,4.910925881650759
Influenza,States,Wyoming,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,65,WY,2021,136000,23700,4.910925881650759
Influenza,States,Wyoming,2015,Age,25-34 Years,57.8,51.1 to 64.3,316,WY,2015,150200,20700,4.910925881650759
Influenza,States,Wyoming,2015,Age,>=35 Years,NR*,NR*,67,WY,2015,150200,20700,4.910925881650759
Influenza,States,Wyoming,2015,Race and Ethnicity,"White, Non-Hispanic",53.7,48.0 to 59.4,402,WY,2015,150200,20700,4.910925881650759
Influenza,States,Wyoming,2015,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,WY,2015,150200,20700,4.910925881650759
Influenza,States,Wyoming,2015,Race and Ethnicity,Hispanic,NR*,NR*,49,WY,2015,150200,20700,4.910925881650759
Influenza,States,Maine,2020,Age,18-24 Years,69.5,59.3 to 78.4,130,ME,2020,NA,NA,4.308197265653197
Influenza,States,Maine,2020,Age,25-34 Years,72.2,67.6 to 76.5,542,ME,2020,NA,NA,4.308197265653197
Influenza,States,Maine,2020,Age,>=35 Years,75.1,67.5 to 81.7,198,ME,2020,NA,NA,4.308197265653197
Influenza,States,Maine,2012,Age,>=35 Years,62.7,49.0 to 75.1,80,ME,2012,356100,50700,4.308197265653197
Influenza,States,Maine,2012,Age,25-34 Years,53.1,47.0 to 59.1,372,ME,2012,356100,50700,4.308197265653197
Influenza,States,Maine,2020,Race and Ethnicity,Hispanic,NR*,NR*,NA,ME,2020,NA,NA,4.308197265653197
Influenza,States,Maine,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",73.2,57.3 to 85.7,45,ME,2020,NA,NA,4.308197265653197
Influenza,States,Maine,2020,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,36,ME,2020,NA,NA,4.308197265653197
Influenza,States,Maine,2012,Race and Ethnicity,Hispanic,NR*,NR*,NA,ME,2012,356100,50700,4.308197265653197
Influenza,States,Maine,2012,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,ME,2012,356100,50700,4.308197265653197
Influenza,States,Maine,2020,Race and Ethnicity,"White, Non-Hispanic",73.1,69.3 to 76.7,769,ME,2020,NA,NA,4.308197265653197
Influenza,States,Maine,2012,Race and Ethnicity,"White, Non-Hispanic",51.9,47.2 to 56.6,616,ME,2012,356100,50700,4.308197265653197
Influenza,States,Maine,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,NA,ME,2012,356100,50700,4.308197265653197
Influenza,States,Maine,2020,Age,>=18 Years,72.4,68.8 to 75.8,870,ME,2020,NA,NA,4.308197265653197
Influenza,States,Maine,2012,Age,18-24 Years,49.0,40.6 to 57.5,202,ME,2012,356100,50700,4.308197265653197
Influenza,States,Maine,2012,Age,>=18 Years,53.0,48.4 to 57.5,654,ME,2012,356100,50700,4.308197265653197
Influenza,States,Wisconsin,2012,Age,>=18 Years,58.6,54.4 to 62.7,1402,WI,2012,1530500,188500,3.4535347156802865
Influenza,States,Wisconsin,2012,Race and Ethnicity,Hispanic,57.0,49.8 to 64.0,198,WI,2012,1530500,188500,3.4535347156802865
Influenza,States,Wisconsin,2020,Race and Ethnicity,Hispanic,68.1,61.9 to 73.8,318,WI,2020,NA,NA,3.4535347156802865
Influenza,States,Wisconsin,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",73.3,68.0 to 78.1,646,WI,2020,NA,NA,3.4535347156802865
Influenza,States,Wisconsin,2012,Age,18-24 Years,52.4,44.1 to 60.6,488,WI,2012,1530500,188500,3.4535347156802865
Influenza,States,Wisconsin,2020,Race and Ethnicity,"White, Non-Hispanic",73.4,68.5 to 77.9,382,WI,2020,NA,NA,3.4535347156802865
Influenza,States,Wisconsin,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",61.3,53.6 to 68.6,229,WI,2012,1530500,188500,3.4535347156802865
Influenza,States,Wisconsin,2012,Race and Ethnicity,"White, Non-Hispanic",59.3,53.7 to 64.7,336,WI,2012,1530500,188500,3.4535347156802865
Influenza,States,Wisconsin,2020,Race and Ethnicity,"Black, Non-Hispanic",53.3,47.5 to 59.0,304,WI,2020,NA,NA,3.4535347156802865
Influenza,States,Wisconsin,2012,Race and Ethnicity,"Black, Non-Hispanic",51.7,47.2 to 56.2,639,WI,2012,1530500,188500,3.4535347156802865
Influenza,States,Wisconsin,2020,Age,>=35 Years,70.0,60.8 to 78.1,277,WI,2020,NA,NA,3.4535347156802865
Influenza,States,Wisconsin,2012,Age,25-34 Years,57.9,52.4 to 63.2,739,WI,2012,1530500,188500,3.4535347156802865
Influenza,States,Wisconsin,2012,Age,>=35 Years,70.5,59.7 to 79.8,175,WI,2012,1530500,188500,3.4535347156802865
Influenza,States,Wisconsin,2020,Age,18-24 Years,58.7,50.3 to 66.7,365,WI,2020,NA,NA,3.4535347156802865
Influenza,States,Wisconsin,2020,Age,25-34 Years,73.8,69.4 to 77.9,1011,WI,2020,NA,NA,3.4535347156802865
Influenza,States,Wisconsin,2020,Age,>=18 Years,70.7,67.2 to 74.0,1653,WI,2020,NA,NA,3.4535347156802865
Tdap,States,Texas,2015,Race and Ethnicity,"White, Non-Hispanic",47.8,42.3 to 53.3,389,TX,2015,6413900,1811500,2.1383672401324936
Tdap,States,Texas,2016,Race and Ethnicity,"White, Non-Hispanic",69.7,64.6 to 74.5,521,TX,2016,6491000,1821300,2.1383672401324936
Tdap,States,Texas,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",41.9,28.8 to 55.8,69,TX,2015,6413900,1811500,2.1383672401324936
Tdap,States,Texas,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",65.7,52.9 to 77.0,117,TX,2016,6491000,1821300,2.1383672401324936
Tdap,States,Texas,2015,Race and Ethnicity,Hispanic,37.2,30.9 to 43.9,321,TX,2015,6413900,1811500,2.1383672401324936
Tdap,States,Texas,2015,Race and Ethnicity,"Black, Non-Hispanic",44.7,39.0 to 50.5,307,TX,2015,6413900,1811500,2.1383672401324936
Tdap,States,Texas,2016,Race and Ethnicity,Hispanic,68.3,63.8 to 72.6,736,TX,2016,6491000,1821300,2.1383672401324936
Tdap,States,Texas,2016,Race and Ethnicity,"Black, Non-Hispanic",63.0,52.8 to 72.4,209,TX,2016,6491000,1821300,2.1383672401324936
Tdap,States,Texas,2015,Age,>=35 Years,46.5,37.3 to 55.8,187,TX,2015,6413900,1811500,2.1383672401324936
Tdap,States,Texas,2016,Age,>=35 Years,69.5,61.4 to 76.8,261,TX,2016,6491000,1821300,2.1383672401324936
Tdap,States,Texas,2016,Age,25-34 Years,66.2,62.1 to 70.1,915,TX,2016,6491000,1821300,2.1383672401324936
Tdap,States,Texas,2015,Age,25-34 Years,42.4,37.6 to 47.3,603,TX,2015,6413900,1811500,2.1383672401324936
Tdap,States,Texas,2015,Age,>=18 Years,42.3,38.6 to 46.1,1087,TX,2015,6413900,1811500,2.1383672401324936
Tdap,States,Texas,2016,Age,>=18 Years,68.0,65.0 to 70.9,1584,TX,2016,6491000,1821300,2.1383672401324936
Tdap,States,Texas,2015,Age,18-24 Years,39.7,32.4 to 47.3,297,TX,2015,6413900,1811500,2.1383672401324936
Tdap,States,Texas,2016,Age,18-24 Years,71.3,65.4 to 76.7,408,TX,2016,6491000,1821300,2.1383672401324936
Tdap,States,New Mexico,2015,Age,>=18 Years,52.6,49.7 to 55.5,1199,NM,2015,521500,83500,3.937810881711638
Tdap,States,New Mexico,2015,Age,18-24 Years,50.7,45.6 to 55.8,387,NM,2015,521500,83500,3.937810881711638
Tdap,States,New Mexico,2015,Age,25-34 Years,53.6,49.7 to 57.4,666,NM,2015,521500,83500,3.937810881711638
Tdap,States,New Mexico,2015,Race and Ethnicity,"White, Non-Hispanic",59.4,54.6 to 64.1,427,NM,2015,521500,83500,3.937810881711638
Tdap,States,New Mexico,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",54.1,46.7 to 61.4,186,NM,2015,521500,83500,3.937810881711638
Tdap,States,New Mexico,2015,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,NM,2015,521500,83500,3.937810881711638
Tdap,States,New Mexico,2015,Race and Ethnicity,Hispanic,49.2,45.0 to 53.4,574,NM,2015,521500,83500,3.937810881711638
Tdap,States,New Mexico,2015,Age,>=35 Years,53.7,45.3 to 62.0,146,NM,2015,521500,83500,3.937810881711638
Influenza,States,New Mexico,2022,Age,18-24 Years,51.4,44.4 to 58.4,212,NM,2022,530100,69100,3.937810881711638
Influenza,States,New Mexico,2022,Age,25-34 Years,59.1,54.8 to 63.3,546,NM,2022,530100,69100,3.937810881711638
Influenza,States,New Mexico,2022,Age,>=18 Years,57.2,54.0 to 60.4,965,NM,2022,530100,69100,3.937810881711638
Influenza,States,New Mexico,2022,Age,>=35 Years,60.0,53.0 to 66.7,207,NM,2022,530100,69100,3.937810881711638
Influenza,States,New Mexico,2022,Race and Ethnicity,"White, Non-Hispanic",55.9,50.1 to 61.6,301,NM,2022,530100,69100,3.937810881711638
Influenza,States,New Mexico,2022,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,NM,2022,530100,69100,3.937810881711638
Influenza,States,New Mexico,2022,Race and Ethnicity,Hispanic,56.3,51.7 to 60.8,489,NM,2022,530100,69100,3.937810881711638
Influenza,States,New Mexico,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",64.0,56.0 to 71.5,157,NM,2022,530100,69100,3.937810881711638
Influenza,States,New Mexico,2012,Age,>=35 Years,46.2,34.8 to 57.9,98,NM,2012,463300,152600,3.937810881711638
Influenza,States,New Mexico,2012,Age,25-34 Years,48.7,43.5 to 53.9,465,NM,2012,463300,152600,3.937810881711638
Influenza,States,New Mexico,2020,Age,>=35 Years,68.8,60.7 to 76.2,169,NM,2020,NA,NA,3.937810881711638
Influenza,States,New Mexico,2020,Age,25-34 Years,68.4,64.3 to 72.3,602,NM,2020,NA,NA,3.937810881711638
Influenza,States,New Mexico,2020,Age,18-24 Years,65.6,59.2 to 71.6,240,NM,2020,NA,NA,3.937810881711638
Influenza,States,New Mexico,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",71.5,62.8 to 79.2,139,NM,2020,NA,NA,3.937810881711638
Influenza,States,New Mexico,2020,Race and Ethnicity,Hispanic,65.4,61.0 to 69.6,513,NM,2020,NA,NA,3.937810881711638
Influenza,States,New Mexico,2012,Race and Ethnicity,Hispanic,46.8,41.8 to 51.8,472,NM,2012,463300,152600,3.937810881711638
Influenza,States,New Mexico,2012,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,NM,2012,463300,152600,3.937810881711638
Influenza,States,New Mexico,2020,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,NA,NM,2020,NA,NA,3.937810881711638
